WRN 2026-09-04T19:03:31.021 ui.53994   tui_handle_term_mode:226: TUI: terminal mode 69 unavailable, state 0
WRN 2026-09-04T19:03:31.021 ui.53994   tui_handle_term_mode:239: TUI: terminal mode 2026 detected, state 2
WRN 2026-09-04T19:03:31.021 ui.53994   tui_handle_term_mode:226: TUI: terminal mode 2027 unavailable, state 0
WRN 2026-09-04T19:03:31.021 ui.53994   tui_handle_term_mode:239: TUI: terminal mode 2031 detected, state 2
WRN 2026-09-04T19:03:31.021 ui.53994   tui_handle_term_mode:239: TUI: terminal mode 2048 detected, state 2
WRN 2026-09-04T19:12:06.752 ui.55761   tui_handle_term_mode:226: TUI: terminal mode 69 unavailable, state 0
WRN 2026-09-04T19:12:06.752 ui.55761   tui_handle_term_mode:239: TUI: terminal mode 2026 detected, state 2
WRN 2026-09-04T19:12:06.752 ui.55761   tui_handle_term_mode:226: TUI: terminal mode 2027 unavailable, state 0
WRN 2026-09-04T19:12:06.752 ui.55761   tui_handle_term_mode:239: TUI: terminal mode 2031 detected, state 2
WRN 2026-09-04T19:12:06.752 ui.55761   tui_handle_term_mode:239: TUI: terminal mode 2048 detected, state 2
WRN 2026-09-04T19:15:10.916 ui.57293   tui_handle_term_mode:226: TUI: terminal mode 69 unavailable, state 0
WRN 2026-09-04T19:15:10.916 ui.57293   tui_handle_term_mode:239: TUI: terminal mode 2026 detected, state 2
WRN 2026-09-04T19:15:10.916 ui.57293   tui_handle_term_mode:226: TUI: terminal mode 2027 unavailable, state 0
WRN 2026-09-04T19:15:10.916 ui.57293   tui_handle_term_mode:239: TUI: terminal mode 2031 detected, state 2
WRN 2026-09-04T19:15:10.916 ui.57293   tui_handle_term_mode:239: TUI: terminal mode 2048 detected, state 2
WRN 2026-09-04T19:18:14.207 ui.58313   tui_handle_term_mode:226: TUI: terminal mode 69 unavailable, state 0
WRN 2026-09-04T19:18:14.207 ui.58313   tui_handle_term_mode:239: TUI: terminal mode 2026 detected, state 2
WRN 2026-09-04T19:18:14.207 ui.58313   tui_handle_term_mode:226: TUI: terminal mode 2027 unavailable, state 0
WRN 2026-09-04T19:18:14.207 ui.58313   tui_handle_term_mode:239: TUI: terminal mode 2031 detected, state 2
WRN 2026-09-04T19:18:14.207 ui.58313   tui_handle_term_mode:239: TUI: terminal mode 2048 detected, state 2
WRN 2026-09-04T19:21:53.843 ui.59628   tui_handle_term_mode:226: TUI: terminal mode 69 unavailable, state 0
WRN 2026-09-04T19:21:53.843 ui.59628   tui_handle_term_mode:239: TUI: terminal mode 2026 detected, state 2
WRN 2026-09-04T19:21:53.843 ui.59628   tui_handle_term_mode:226: TUI: terminal mode 2027 unavailable, state 0
WRN 2026-09-04T19:21:53.843 ui.59628   tui_handle_term_mode:239: TUI: terminal mode 2031 detected, state 2
WRN 2026-09-04T19:21:53.843 ui.59628   tui_handle_term_mode:239: TUI: terminal mode 2048 detected, state 2
WRN 2026-09-04T19:22:26.956 ui.59700   tui_handle_term_mode:226: TUI: terminal mode 69 unavailable, state 0
WRN 2026-09-04T19:22:26.956 ui.59700   tui_handle_term_mode:239: TUI: terminal mode 2026 detected, state 2
WRN 2026-09-04T19:22:26.956 ui.59700   tui_handle_term_mode:226: TUI: terminal mode 2027 unavailable, state 0
WRN 2026-09-04T19:22:26.956 ui.59700   tui_handle_term_mode:239: TUI: terminal mode 2031 detected, state 2
WRN 2026-09-04T19:22:26.956 ui.59700   tui_handle_term_mode:239: TUI: terminal mode 2048 detected, state 2
WRN 2026-09-05T05:41:05.725 ui.2251    tui_handle_term_mode:226: TUI: terminal mode 69 unavailable, state 0
WRN 2026-09-05T05:41:05.726 ui.2251    tui_handle_term_mode:239: TUI: terminal mode 2026 detected, state 2
WRN 2026-09-05T05:41:05.726 ui.2251    tui_handle_term_mode:226: TUI: terminal mode 2027 unavailable, state 0
WRN 2026-09-05T05:41:05.726 ui.2251    tui_handle_term_mode:239: TUI: terminal mode 2031 detected, state 2
WRN 2026-09-05T05:41:05.726 ui.2251    tui_handle_term_mode:239: TUI: terminal mode 2048 detected, state 2
WRN 2026-09-05T06:03:27.516 ui.8685    tui_handle_term_mode:226: TUI: terminal mode 69 unavailable, state 0
WRN 2026-09-05T06:03:27.516 ui.8685    tui_handle_term_mode:239: TUI: terminal mode 2026 detected, state 2
WRN 2026-09-05T06:03:27.516 ui.8685    tui_handle_term_mode:226: TUI: terminal mode 2027 unavailable, state 0
WRN 2026-09-05T06:03:27.516 ui.8685    tui_handle_term_mode:239: TUI: terminal mode 2031 detected, state 2
WRN 2026-09-05T06:03:27.516 ui.8685    tui_handle_term_mode:239: TUI: terminal mode 2048 detected, state 2
WRN 2026-09-05T06:04:19.759 ui.8742    tui_handle_term_mode:226: TUI: terminal mode 69 unavailable, state 0
WRN 2026-09-05T06:04:19.759 ui.8742    tui_handle_term_mode:239: TUI: terminal mode 2026 detected, state 2
WRN 2026-09-05T06:04:19.759 ui.8742    tui_handle_term_mode:226: TUI: terminal mode 2027 unavailable, state 0
WRN 2026-09-05T06:04:19.759 ui.8742    tui_handle_term_mode:239: TUI: terminal mode 2031 detected, state 2
WRN 2026-09-05T06:04:19.759 ui.8742    tui_handle_term_mode:239: TUI: terminal mode 2048 detected, state 2
WRN 2026-09-05T06:05:25.171 ui.9037    tui_handle_term_mode:226: TUI: terminal mode 69 unavailable, state 0
WRN 2026-09-05T06:05:25.171 ui.9037    tui_handle_term_mode:239: TUI: terminal mode 2026 detected, state 2
WRN 2026-09-05T06:05:25.171 ui.9037    tui_handle_term_mode:226: TUI: terminal mode 2027 unavailable, state 0
WRN 2026-09-05T06:05:25.171 ui.9037    tui_handle_term_mode:239: TUI: terminal mode 2031 detected, state 2
WRN 2026-09-05T06:05:25.171 ui.9037    tui_handle_term_mode:239: TUI: terminal mode 2048 detected, state 2
WRN 2026-09-05T06:12:30.249 ui.9284    tui_handle_term_mode:226: TUI: terminal mode 69 unavailable, state 0
WRN 2026-09-05T06:12:30.249 ui.9284    tui_handle_term_mode:239: TUI: terminal mode 2026 detected, state 2
WRN 2026-09-05T06:12:30.249 ui.9284    tui_handle_term_mode:226: TUI: terminal mode 2027 unavailable, state 0
